=========================================================
             VOLCADO DE CACHÉ DE TIA PORTAL              
=========================================================
Fecha de volcado: 10/03/2026 15:40:41
PLC: PLC_C9_ED11
Total Bloques: 651
=========================================================

[Nombre] _borrar                             | [Num] 4     | [Tipo API] GlobalDB     | [Ruta] Root
[Nombre] DB4025_PREAL                        | [Num] 4025  | [Tipo API] GlobalDB     | [Ruta] 1025_EnvioEstandarizadorUF\4025_Parametros
[Nombre] DB4026_PINT                         | [Num] 4026  | [Tipo API] GlobalDB     | [Ruta] 1025_EnvioEstandarizadorUF\4025_Parametros
[Nombre] DB4030_PREAL                        | [Num] 4030  | [Tipo API] GlobalDB     | [Ruta] 1030_EnvioUFEstandarizador\4030_Parametros
[Nombre] DB4031_PINT                         | [Num] 4031  | [Tipo API] GlobalDB     | [Ruta] 1030_EnvioUFEstandarizador\4030_Parametros
[Nombre] DB4035_PREAL                        | [Num] 4035  | [Tipo API] GlobalDB     | [Ruta] 1035_EnvioPastoFermentadores\4035_Parametros
[Nombre] DB4036_PINT                         | [Num] 4036  | [Tipo API] GlobalDB     | [Ruta] 1035_EnvioPastoFermentadores\4035_Parametros
[Nombre] DB4040_PREAL                        | [Num] 4040  | [Tipo API] GlobalDB     | [Ruta] 1040_EnvioPastoCubas\4040_Parametros
[Nombre] DB4041_PINT                         | [Num] 4041  | [Tipo API] GlobalDB     | [Ruta] 1040_EnvioPastoCubas\4040_Parametros
[Nombre] DB4045_PREAL                        | [Num] 4045  | [Tipo API] GlobalDB     | [Ruta] 1045_EnvioFermentadoresUF\4045_Parametros
[Nombre] DB4046_PINT                         | [Num] 4046  | [Tipo API] GlobalDB     | [Ruta] 1045_EnvioFermentadoresUF\4045_Parametros
[Nombre] DB4050_PREAL                        | [Num] 4050  | [Tipo API] GlobalDB     | [Ruta] 1050_EnvioPastoTqMovil\4050_Parametros
[Nombre] DB4051_PINT                         | [Num] 4051  | [Tipo API] GlobalDB     | [Ruta] 1050_EnvioPastoTqMovil\4050_Parametros
[Nombre] DB4055_PREAL                        | [Num] 4055  | [Tipo API] GlobalDB     | [Ruta] 1055_EnvioFermentadoresMixer_Mixer\4055_Parametros
[Nombre] DB4056_PINT                         | [Num] 4056  | [Tipo API] GlobalDB     | [Ruta] 1055_EnvioFermentadoresMixer_Mixer\4055_Parametros
[Nombre] DB4060_PREAL                        | [Num] 4060  | [Tipo API] GlobalDB     | [Ruta] 1060_EnvioFermentadoresCubas_Cubas\4060_Parametros
[Nombre] DB4061_PINT                         | [Num] 4061  | [Tipo API] GlobalDB     | [Ruta] 1060_EnvioFermentadoresCubas_Cubas\4060_Parametros
